;Coord 1;Coord 2;Coord 3;Coord 4;Coord 5;Coord 6;Coord 7;Coord 8;Coord 9;Coord 10;Coord 11;Coord 12;Coord 13;Coord 14;Coord 15;Coord 16;Coord 17;Coord 18;Coord 19;Coord 20;Coord 21;Coord 22;Coord 23;Coord 24
RB1;0.094924;-0.090757;-0.24993;-0.1253;0.098767;0.0092547;-0.050035;0.12477;0.13517;0.062006;-0.11722;0.093261;-0.060066;0.013123;0.016951;-0.07806;0.045794;-0.17795;0.13986;0.20902;0.15496;-0.048932;0.045622;-0.091477
RB1;0.054499;-0.082629;0.022827;-0.12446;0.17253;0.052247;-0.046407;-0.060473;-0.25583;-0.0082897;-0.065102;0.22126;-0.065896;0.40015;-0.14427;0.038989;-0.1172;0.028484;-0.048545;-0.064415;-0.07032;-0.20145;-0.38345;0.039508
RB1;-0.007944;0.13253;-0.0091218;-0.095139;-0.053783;0.081787;0.13054;-0.22834;-0.22269;0.18692;-0.041211;-0.0099729;0.03247;-0.19747;-0.24362;0.27704;-0.27329;0.055357;0.14093;-0.057636;0.10958;0.34788;0.29318;0.086403
RB2;0.11447;0.23374;-0.045808;0.10464;0.28664;-0.048847;-0.07212;0.022765;0.22604;0.18163;-0.02752;0.063418;-0.047257;0.070128;-0.022774;0.0080692;0.14799;0.36974;0.046855;-0.10186;-0.10456;-0.16972;0.23478;-0.14166
RB2;0.18006;-0.2106;-0.12607;0.074323;0.068919;0.13604;-0.017188;-0.031967;0.14404;0.086621;-0.10599;-0.10304;-0.087245;-0.03172;0.047108;-0.15563;-0.028414;-0.069585;0.17684;-0.010322;0.098853;0.096539;0.011448;-0.16736
RB2;0.17224;0.047721;-0.17367;0.02774;0.10649;4.99E-02;0.11433;0.20076;-0.20093;-0.17773;-0.15977;-0.00057035;0.15064;0.018134;0.024615;-0.008895;0.023652;0.15111;0.074131;-0.17351;-0.12088;0.056423;-0.040459;-0.064154
RB2;0.1157;0.0319;0.11214;-0.12733;0.076965;-0.010397;0.023016;0.13921;-0.06444;-0.02583;0.15683;-0.14612;0.19317;0.07909;-0.30686;-0.095079;-0.36331;0.056387;0.12065;-0.0047511;-0.11834;0.13653;-0.11601;-0.060722
RB2;-0.10507;0.12281;0.040002;-0.069544;0.013078;0.16175;0.11242;-0.25522;0.066963;-0.050807;-0.033688;-0.11904;0.030984;-0.010852;0.047221;-0.16011;0.056947;0.21548;0.17441;0.21463;0.15436;0.21359;-0.1732;-0.091533
RC6;0.030693;0.22705;0.12272;-0.08211;0.18908;-0.041621;-0.038922;0.1272;-0.18961;-0.062261;-0.00055817;0.1222;0.035536;-0.2037;0.10807;0.1786;0.078634;0.044819;0.010372;-0.015075;0.18885;-0.015639;-0.11982;-0.46676
RC6;0.0010248;-0.12389;0.1662;-0.050977;0.050528;0.2015;-0.098081;0.049088;-0.16627;-0.10649;0.086563;0.0039998;-0.027902;0.0052129;0.23453;-0.14271;0.065753;0.016494;0.074359;0.14726;-0.061023;0.11543;-0.098477;0.010717
RC6;0.025259;-0.07206;0.097528;-0.19606;-0.045422;0.04348;-0.15633;0.029577;0.046013;-0.23665;0.32245;0.30565;0.12495;-0.36305;-0.052843;-0.1147;-0.0032517;-0.011683;-0.10322;-0.13782;-0.31562;0.11918;0.016271;-0.080755
RC6;0.076535;-0.12152;0.17719;-0.14142;0.10797;-0.087943;0.1411;-0.15821;-0.2435;-0.039611;-0.10641;-0.17681;-0.19757;0.15606;0.16048;-0.01064;0.12845;0.081102;0.19191;-0.093334;-0.13127;-0.092479;0.17068;-0.06128
RC6;-0.062642;0.048697;0.10924;-0.18211;-0.19663;-0.12944;0.057882;0.32723;0.095033;-0.13123;0.042078;-0.047811;0.058606;0.16276;-0.08406;0.085356;-0.10641;0.12241;0.11235;0.019963;-0.11455;-0.14906;0.4309;0.2167
